index_col,content,data,like,place,tags
12,.together jumping 2022! ??????????????????????????? ????????? ??????????????? 2020?????? ??????????2021?????? ?????????? ??????? ??????!??????????? ?????????????? ????? ????????????????? ‘??????? ???’??? ??????????????!?????????? ???????? 2021????? ??????? ????????? ????????? ??????(?????)?? ??????????????(????????)???????! ??????? ??????????????????????? ????????????? ??????????? ???????? ???????? ?????????? ???????..?????????????????????? ???????????? ?????????? ???????? ???????????? ?????????? ?????? ?????????? ????? ?????????? ???????? ??????????!(?????????????? ????????? ?????? ?????????????? ??)????? ?????????? ????????? ???????????????? ??????? ?????? ?????????????? ??????????! ??2021??????? ?????????????????????? ?????? ???????? ?????? ????? ???????????????????????????????????? ???????? ???????????2021??? ??????? ?????? ???????????!,2020-12-11,11,,[]
13,"팬톤이 2021년의 컬러를 발표하였습니다. Illuminating 일루미네이팅 Ultimate Gray 얼티메이트 그레이 팬톤은 활기찬 연노랑과 안정적인 연회색의 매치로 전세계에 희망과 위로의 메시지를 전한다고 밝혔습니다.??: 21407689, 21343486, 20954665, 20587367디자인, 트렌드에 민감한 당신을 위한 #유토이미지",2020-12-11,24,,['#유토이미지']
14,"2021????? ???????? ??????????????-?????????? ????????? 2021????? ???????-1?? ??????????????, ??????????? ?????????? ????????????????? ????????? ????? ???????? ????????, ??????????? ????????? ????????????? ????????? ????? 2?? ????? ????? ??????? ??????19?? ???????? ???????? ????? ??? ?????? ????? ??????, ??????? ?????? ??????? ?????? ???? ?????????????? = ??????, ??????, ??????????? ??????= ????????, ????? ???? ???????????????? ????????? ?? ?????? ?? ??????3?? ???? ?????? ????? ????? ?????, ?????????? ?????? ????????? ???????????? ???????? ?????? ????? ??????????? ??? ???? ?????? ?????????? ????????? ??? -??????????? ?????? ????? ????????? ?????????? ???????? ???????? ??????? ????????. ??????? ‘?????????? ?????’?????? ?????? ?? ?????? ??????? ?????? ?????????? ??????? ????? ?????????? ????????? ????????? 2002???????? 9.11 ??????? ???????? ???????? ???????? ?????? ???? ????, ?????? 2021???????? ??????19?? ????? ??????, ???????? ?????? ?? ???? ???. ???????? ??????????? ‘??????? ?????’??? ??? ???? ???????????? ??? ?????. ????? ????? ??????????? ??? ????? ??????????. ??? ????? ?????? ??????? ??????? ?? ????? ???????????? ???, ??????? ??? ??????? ???????????? ????? ???????? ??? ???????? ???????? ?????? ?????. ????? ?????? ???? ???? ???????????? ???????? ?? ?????? ??????? ???? ????????? ?? ???????? ????? ????????? ???? ?????? ?????? ?? ??????????.",2020-12-11,16,,[]
15,2021??????????????????????????????????????ㅋㅋㅋㅋㅋㅋ#2021??????#??????????#??????#2021#??????#?????#?????#??????#??????????????#pantone#pantone2021#Illuminating#ultimategray#gray#coloroftheyear#coloroftheyear2021 #photooftheday,2020-12-10,14,,"['#2021??????', '#??????????', '#??????', '#2021', '#??????', '#?????', '#?????', '#??????', '#??????????????', '#pantone', '#pantone2021', '#Illuminating', '#ultimategray', '#gray', '#coloroftheyear', '#coloroftheyear2021', '#photooftheday']"
16,#202012112021 Colour of the YearIlluminating & Ultimate Gray업계에서도 인정해주는 펭수의 해 ㅋㅋㅋㅋㅋ@giantpengsoo #팬톤 #올해의색 #올해의 #색 #2021 #펭수 #일루미네이팅 #얼티밋그레이#Pantone #Color #Colour #of #the #Year #ColorOfTheYear #coloroftheyear2021#Illuminating #UltimateGray #Pengsoo,2020-12-10,9,,"['#202012112021', '#팬톤', '#올해의색', '#올해의', '#색', '#2021', '#펭수', '#일루미네이팅', '#얼티밋그레이', '#Pantone', '#Color', '#Colour', '#of', '#the', '#Year', '#ColorOfTheYear', '#coloroftheyear2021', '#Illuminating', '#UltimateGray', '#Pengsoo']"
17,#2021컬러#올해의색 #팬톤컬러 #얼티밋그레이??#일루미네이팅??#희망을상징한다는데#내눈엔이마트가보이는데???♀???.......#pantone#ultimategray#illuminating#2021color#color,2020-12-10,11,,"['#2021컬러', '#올해의색', '#팬톤컬러', '#얼티밋그레이\U0001f90d', '#일루미네이팅??', '#희망을상징한다는데', '#내눈엔이마트가보이는데??\u200d♀???.......', '#pantone', '#ultimategray', '#illuminating', '#2021color', '#color']"
18,오늘(10일) 공개된 팬톤 2021년 올해의 컬러 '일루미네이팅·얼티메이트 그레이'#팬톤 #올해의컬러 #일루미네이팅 #얼티메이트그레이 #노란색 #회색 #올해의색 #트렌드 #trend,2020-12-10,"2,112",,"['#팬톤', '#올해의컬러', '#일루미네이팅', '#얼티메이트그레이', '#노란색', '#회색', '#올해의색', '#트렌드', '#trend']"
19,...Color of the year 2021By PANTONE????........Motion image @lortodimichelle#pantone#팬톤#coloroftheyear #올해의색#노랑#회색 #2021,2020-12-10,73,,"['#pantone', '#팬톤', '#coloroftheyear', '#올해의색', '#노랑', '#회색', '#2021']"
20,"올해의색은 내가 좋아하는 배색 “옐로우&그레이”.#??????? - @jejucolor by @get_multi_repost2021 ?????? ??????? ??????????????????? & ???????? ???????????????? ??????? ???????? ????????? ?????????????????? ??????? ???????????? ???????? ????????????? ???????????Illuminating Pantone 13-0647??????????, ???????? ?????, ?????, ??????, ?????????, ?????????Ultimate Gray Pantone 17-5104??????????, ????????????, ????????, ?????, ???????, ????????#2021??? #???????????? #?????????? #????????????#?????? #??????????? #?????????????? #??????????????#Illuminating #Ultimategray??",2020-12-10,17,,"['#???????', '#2021???', '#????????????', '#??????????', '#????????????', '#??????', '#???????????', '#??????????????', '#??????????????', '#Illuminating', '#Ultimategray??']"
21,"2021 ?????? ??????? ??????????????????? & ???????? ???????????????? ??????? ???????? ????????? ?????????????????? ??????? ???????????? ???????? ????????????? ???????????Illuminating Pantone 13-0647??????????, ???????? ?????, ?????, ??????, ?????????, ?????????Ultimate Gray Pantone 17-5104??????????, ????????????, ????????, ?????, ???????, ???????영상출처 팬톤 홈페이지.?#2021??? #???????????? #?????????? #????????????#?????? #??????????? #?????????????? #??????????????#Illuminating #Ultimategray??",2020-12-10,8,,"['#2021???', '#????????????', '#??????????', '#????????????', '#??????', '#???????????', '#??????????????', '#??????????????', '#Illuminating', '#Ultimategray??']"
22,"#b_news???????? 2021 #?????????? ??? ???????????????. ?????????? ??????? ????????? ‘???????? ??????’?? ??????????? ‘??????????????’?? ???? ??????? ???? ????????? ???????????. ???????? ????????? “??????????? ?????”.???? ???? ???????? ?????????? ??? ??????? ????????????? ???????? ?????, ??????? ?????????? ????????????. ?? @pantone ????????? “???????? ?????????? ???????? ???????? ?????, ??????????? ??????????? ????????? ???????????. ????????????? ????????????, ??????? ????????? ?????????????. ???????? ???????? ???????.”_?????? ????? ????????? ????? ??????? ???????? ?????????.",2020-12-10,0,,"['#b_news????????', '#??????????']"
23,"색채 전문기업 PANTONE(팬톤)의 Color of the Year! ?? 2021년도 컬러를 기다리면서, 지난 5년간의 컬러를 살펴보았습니다:)?2016 : Rose Quartz & Serenity2017 : Greenery2018 : Ultra Violet2019 : Living Coral2020 : Classic Blue?팬톤은 매년 12월에 다음 해 컬러를 선정하여 발표합니다. 과연 2021년도는 어떤 컬러가 선정될까요?",2020-12-02,26,,[]
24,"안녕하세요 2021 S/S시즌 색상팔레트를 여러분과 함께 준비할 룩킨이 돌아왔습니다?? 색채 전문기업 팬톤(PANTONE)이 발표한 싱그럽고 활기찬 색상들로 2021 봄, 여름의 분위기를 미리 경험해보세요!#룩킨#패션#패션스타그램#패션정보#트렌드#패션트렌드#팬톤#팬톤컬러#팬톤컬러칩#2021팬톤#팬톤트렌드컬러#올해의색#ootd#ss#pantone#pantonecolors",2020-12-01,11,,"['#룩킨', '#패션', '#패션스타그램', '#패션정보', '#트렌드', '#패션트렌드', '#팬톤', '#팬톤컬러', '#팬톤컬러칩', '#2021팬톤', '#팬톤트렌드컬러', '#올해의색', '#ootd', '#ss', '#pantone', '#pantonecolors']"
25,2020  가을겨울  헤어추천쓰#네이비 #블루 #염색 #아이유 #휘인 #지연 #올해의색 #클래식블루 #팬톤 #나는무리,2020-11-30,,,"['#네이비', '#블루', '#염색', '#아이유', '#휘인', '#지연', '#올해의색', '#클래식블루', '#팬톤', '#나는무리']"
26,기억은 필요이상의 것들로 넘칩니다#안국역 #현대미술관 #가는길 #가을 #올해의색 #휴일 #일상 #낙서 #?? #?? #??,2020-11-07,33,,"['#안국역', '#현대미술관', '#가는길', '#가을', '#올해의색', '#휴일', '#일상', '#낙서', '#??', '#??', '#??']"
27,클래식 블루??????????,2020-11-03,25,,[]
28,"[뉴스피처] ""선명한 빨간색의 새 이름 '생리'입니다""(서울=연합뉴스) 매년 연말이면 이듬해를 겨냥한 '올해의 색'을 선정, 발표하는 글로벌 색채 전문기업 '팬톤'(Pantone). 패션·디자인 업계를 넘어 산업 전 분야에 널리 활용되며 막강한 영향력을 행사하고 있는데요.https://www.yna.co.kr/view/AKR20201019072600797?section=digital/all#팬톤 #올해의색 #생리",2020-10-20,0,,"['#팬톤', '#올해의색', '#생리']"
29,"나는 보통 그 기간이라 뭔가 불편한 일이 있으면, 별 숨김없이 단어도 그대로 사용해서 얘기하는 편이다. 남자pt 선생님에게도, 동료들에게도 ... 보통은 나보다 듣는 상대방이 당황한 표정을 숨기지 못하는 경우가 많아서 스스럼 없이 얘기하는 내가 예의가 없는건가... 라는 생각도 몇번 했었는데, 이런 기사를 보니 반갑다!!^ 하긴, 그 기준이란 게 꼭 있는 것도 아니고, 감기걸렸어요~ 나 아파요. 랑 다를 건 또 뭐람~ #중국어  올해=1찐.2니엔=jin.nian今年색상/색갈=2옌.4써=yan.se?色회사=1gong.1si=gong.si公司#팬톤컬러 #팬톤 #올해의색 #용기 #적극적",2020-10-11,5,,"['#중국어', '#팬톤컬러', '#팬톤', '#올해의색', '#용기', '#적극적']"
30,#올해의색#클래식블루#coloroftheyear2020#classicblue#jejuisland블루로 가득한 여기,2020-10-07,,,"['#올해의색', '#클래식블루', '#coloroftheyear2020', '#classicblue', '#jejuisland블루로']"
31,코발트블루로 끄적끄적 거리기??????,2020-10-04,40,,[]
32,#올해의색#울트라바이올렛#울트라발라또#울트라v그룹#인셀덤#인셀덤이은지 이런 좋은 느낌적인 느낌!2021 올해의 색 이슈는 #incellderm,2020-09-26,9,,"['#올해의색', '#울트라바이올렛', '#울트라발라또', '#울트라v그룹', '#인셀덤', '#인셀덤이은지', '#incellderm']"
33,#CNC#살리기#우레탄#도장#가을하늘처럼#파란#올해의색,2020-09-25,7,,"['#CNC', '#살리기', '#우레탄', '#도장', '#가을하늘처럼', '#파란', '#올해의색']"
34,#올해의색 클래식 블루,2020-09-21,10,,['#올해의색']
35,.?????????????? ??? ????????????? ?????????????????? ??????? ???????? ?????? ?????????? ??? ?????????? ???????? ???????? ??? ????????????? ??????????? ?????????????????? ??????? ????? ???????? ???????????!????? ???????#?????????? ???????#???????????? #??????? #????????????????#??????? #??????????????? #????????? #???????????#????????? #??????????? #????????????#????????? #????????? #?????? #??????????,2020-09-18,12,,"['#??????????', '#????????????', '#???????', '#????????????????', '#???????', '#???????????????', '#?????????', '#???????????', '#?????????', '#???????????', '#????????????', '#?????????', '#?????????', '#??????', '#??????????']"
36,"매년 올해의 색을 발표하는 세계적 색채기업 팬톤.팬톤이 발표하는 ""올해의 색""은 한 해동안의 전세계 이슈와 흐름을 분석하고 파악하여그 시대에 전하는 메세지를 담아 발표하는 의미라는 걸 알고 계시나요?아마도 2021년의 색은지금 전세계를 휩쓸고 있는 코로나 이슈에 관련하여 어떤 고난이나 회복 혹은 새로운 시대로의 전환에 대한 메세지가 담기지 않을까 생각이 드네요??그래서 팬톤 컬러칩을 꺼내서 다시 천천히 들여다봤어요.팬톤이 만든 색명의 큰 매력은듣기만 해도 그 색의 감각과 느낌을 연상시킨다는 거예요.누구라도 그 감각을 불러일으킬 수 있죠.오늘 나의 하루를 물들일 색을 선택할 자유가우리 모두에게 있어요??#감성색채#팬톤#올해의색#올해의컬러#팬톤컬러#팬톤컬러칩#색상#견본#색채심리 #컬러테라피#감성#마음#회복#치유#힐링#이로쥬컬러테라피#코로나블루 #유행색#색",2020-08-31,86,,"['#감성색채', '#팬톤', '#올해의색', '#올해의컬러', '#팬톤컬러', '#팬톤컬러칩', '#색상', '#견본', '#색채심리', '#컬러테라피', '#감성', '#마음', '#회복', '#치유', '#힐링', '#이로쥬컬러테라피', '#코로나블루', '#유행색', '#색']"
37,???!!?????@violin_hyejinist .#??????????#?????????????#?????????????#??????????? .#??????????#????#?????#???????????#????????????????,2020-08-10,113,예술의전당 Seoul Arts Center,"['#??????????', '#?????????????', '#?????????????', '#???????????', '#??????????', '#????', '#?????', '#???????????', '#????????????????']"
38,2020.07.25 #올해의색 #행복을찾아서 #행복하자 #파랑새 #뚝섬에서,2020-07-25,35,뚝섬역,"['#올해의색', '#행복을찾아서', '#행복하자', '#파랑새', '#뚝섬에서']"
39,??????????? ??????????????...??????? ??? ??????????? #??????..??????? ??? #classicblue ?????? ?????????????? ????? #color ?? ?????? ????? ?????!!..#??????? ?...#????????????? #?????????????????????? #????????????????????? #????????????? #?????? #?????????? #????????????? #????????????? #?????? #????????????? #???????????? #?????????????? #?????diy #??????? #??????? #???????????? #?????????????? #친환경 #아이방 #classicblue #pantone #pantonepaint #pantone2020 #pantonecolors #self #selfinterior #diy #moongori,2020-07-16,16,,"['#??????..???????', '#classicblue', '#color', '#???????', '#?????????????', '#??????????????????????', '#?????????????????????', '#?????????????', '#??????', '#??????????', '#?????????????', '#?????????????', '#??????', '#?????????????', '#????????????', '#??????????????', '#?????diy', '#???????', '#???????', '#????????????', '#??????????????', '#친환경', '#아이방', '#classicblue', '#pantone', '#pantonepaint', '#pantone2020', '#pantonecolors', '#self', '#selfinterior', '#diy', '#moongori']"
40,??????????????? ???_?????????????_ ??????? ????????? ??????????????. ??????? ????? ???????? ???????????? ????? ?????????? ?????? ?????? ???????? ?????? ???????? ????????????. ?????? ??????? ?????? ???????????? ????? ???????????? ??????????? ??????????????~ #????????????? #???????????????? #???????????? #?????????? #?????????? #????????????? #???????? #?????????????,2020-07-15,10,,"['#?????????????', '#????????????????', '#????????????', '#??????????', '#??????????', '#?????????????', '#????????', '#?????????????']"
41,#주름지장미#올해의색#블루#블루로즈#자이언트페이퍼플라워#원데이수강#자격증클래스#페이퍼로즈#부천공방#중동맘#상동맘#취미생활그램#힐링타임#잡생각은그만#예쁜꽃#뿌듯#성취감,2020-07-15,88,,"['#주름지장미', '#올해의색', '#블루', '#블루로즈', '#자이언트페이퍼플라워', '#원데이수강', '#자격증클래스', '#페이퍼로즈', '#부천공방', '#중동맘', '#상동맘', '#취미생활그램', '#힐링타임', '#잡생각은그만', '#예쁜꽃', '#뿌듯', '#성취감']"
42,파파란맛궁금해허니#파랑파랑#은근어울이는색#클래식블루#올해의색2020#올해의색,2020-07-04,1,,"['#파랑파랑', '#은근어울이는색', '#클래식블루', '#올해의색2020', '#올해의색']"
43,#커튼#올해의색#아이방#숙제일년을  미뤄든  커튼만들기드디어  원단사단  완성^^♡,2020-07-03,5,,"['#커튼', '#올해의색', '#아이방', '#숙제일년을']"
44,글로리월드 마라나타 에코백.올해 새롭게 선 보이는글로리월드의 마라나타 에코백은올해의 색 클래식블루와 거의같은 색감의 로얄코발트블루 색상으로100% 국내원단과 기술로 만든핸드메이드 제품이네요.올 여름 패셔니스타들의 워너템.글로리월드의 마라나타 에코백을공식홈페이지에서 만나보세요.#글로리월드#클래식블루 #에코백제작#올해의색 #데일리에코백#데일리룩 #교회에코백#성경학교에코백#교회학교선물 #수련회선물#클래식블루스럽다,2020-07-03,9,,"['#글로리월드', '#클래식블루', '#에코백제작', '#올해의색', '#데일리에코백', '#데일리룩', '#교회에코백', '#성경학교에코백', '#교회학교선물', '#수련회선물', '#클래식블루스럽다']"
45,블루??블루??블루??#실반지 #매듭반지 #매듭공예 #올해의색 #클래식블루#옷이랑깔맞춤 #ootd #????,2020-06-23,4,,"['#실반지', '#매듭반지', '#매듭공예', '#올해의색', '#클래식블루', '#옷이랑깔맞춤', '#ootd', '#????']"
46,#결혼일주년기념?#올해의색 #??#킴지쏭지,2020-06-21,30,,"['#결혼일주년기념?', '#올해의색', '#??', '#킴지쏭지']"
47,#다꾸 #주꾸미톡 #주꾸미톡방주제 : 2019년..뭐할까 하다가 2019 올해의 색인 리빙코랄로!한 해가 끝날때가 되니까 그제서야 리빙코랄이 예뻐보이더라...,2020-06-14,22,,"['#다꾸', '#주꾸미톡', '#주꾸미톡방주제']"
48,"?끈 나시 프릴 원피스?올해 팬톤이 선정한 클래식 블루 색상의 트렌디한 프릴 원피스입니다. 한여름에 입기 좋게 끈 나시로 제작되었고, 은은한 패턴과 화려한 색상이 어우러져 러블리하고 액티브한 느낌으로 코디하실 수 있습니다.#모다까리나 #신상 #정말예쁨 #핫썸머 #여아코디 #프릴원피스 #끈나시원피스 #품절대란 #클래식블루 #올해의색 #여아여름코디 #꼬망스 #뉴코아 #러블리룩",2020-06-13,6,,"['#모다까리나', '#신상', '#정말예쁨', '#핫썸머', '#여아코디', '#프릴원피스', '#끈나시원피스', '#품절대란', '#클래식블루', '#올해의색', '#여아여름코디', '#꼬망스', '#뉴코아', '#러블리룩']"
49,#핸드백 #아코디언백 #올해의색 #파란가방 #가죽가방,2020-06-06,3,,"['#핸드백', '#아코디언백', '#올해의색', '#파란가방', '#가죽가방']"
50,"#리그램 - @emcos_samji by @get_regrammer제품소개해드립니다??해마다 올해의 색을 발표하고 있는 색상회사 팬톤브랜드의 3in1 케이블입니다.?? ..■ 패브릭소재 케이블■ 1.5M■ 최대 3대 까지 동시 충전(마이크로5핀, 라이트닝8핀, C타입)..가까운 홈플러스매장에서 구매하실 수 있습니다. ??내부 제품사진은 옆으로 넘겨주세요 ??.......#팬톤#팬톤컬러#케이블#충전기#블루#5핀#C타입#갤럭시충전#갤럭시충전기#갤럭시#8핀#아이폰충전#아이폰충전기#아이폰#애플#애플충전기#애플8핀#케이블추천#팔로우#팔로워#올해의색상#충전#디지털#악세사리#라이트닝케이블#pantone#올해의색#펜톤#",2020-06-06,6,,"['#리그램', '#팬톤', '#팬톤컬러', '#케이블', '#충전기', '#블루', '#5핀', '#C타입', '#갤럭시충전', '#갤럭시충전기', '#갤럭시', '#8핀', '#아이폰충전', '#아이폰충전기', '#아이폰', '#애플', '#애플충전기', '#애플8핀', '#케이블추천', '#팔로우', '#팔로워', '#올해의색상', '#충전', '#디지털', '#악세사리', '#라이트닝케이블', '#pantone', '#올해의색', '#펜톤']"
51,#리그램 - @emcos_samji by @get_regrammer제품소개해드립니다??해마다 올해의 색을 발표하고 있는 색상회사 팬톤브랜드의 8핀 케이블입니다.?? .■ 패브릭소재 케이블■ 1.5M■ 최대 480Mbps 강력한 데이터 전송속도가까운 홈플러스매장에서 구매하실 수 있습니다. ??내부 제품사진은 옆으로 넘겨주세요 ??.......#팬톤#팬톤컬러#케이블#충전기#레드#8핀#아이폰충전#아이폰충전기#아이폰#애플#애플충전기#애플8핀#케이블추천#팔로우#팔로워#올해의색상#충전#디지털#악세사리#라이트닝케이블#pantone#올해의색#펜톤#emcos#엠코스#팬톤케이블,2020-06-06,5,,"['#리그램', '#팬톤', '#팬톤컬러', '#케이블', '#충전기', '#레드', '#8핀', '#아이폰충전', '#아이폰충전기', '#아이폰', '#애플', '#애플충전기', '#애플8핀', '#케이블추천', '#팔로우', '#팔로워', '#올해의색상', '#충전', '#디지털', '#악세사리', '#라이트닝케이블', '#pantone', '#올해의색', '#펜톤', '#emcos', '#엠코스', '#팬톤케이블']"
53,"#리그램 - @emcos_samji by @get_regrammer제품소개해드립니다??해마다 올해의 색을 발표하고 있는 색상회사 팬톤브랜드의 3in1 케이블입니다.?? ..■ 패브릭소재 케이블■ 1.5M■ 최대 3대 까지 동시 충전(마이크로5핀, 라이트닝8핀, C타입)..가까운 홈플러스매장에서 구매하실 수 있습니다. ??내부 제품사진은 옆으로 넘겨주세요 ??.......#팬톤#팬톤컬러#케이블#충전기#블루#5핀#C타입#갤럭시충전#갤럭시충전기#갤럭시#8핀#아이폰충전#아이폰충전기#아이폰#애플#애플충전기#애플8핀#케이블추천#팔로우#팔로워#올해의색상#충전#디지털#악세사리#라이트닝케이블#pantone#올해의색#펜톤#emcos",2020-06-04,8,,"['#리그램', '#팬톤', '#팬톤컬러', '#케이블', '#충전기', '#블루', '#5핀', '#C타입', '#갤럭시충전', '#갤럭시충전기', '#갤럭시', '#8핀', '#아이폰충전', '#아이폰충전기', '#아이폰', '#애플', '#애플충전기', '#애플8핀', '#케이블추천', '#팔로우', '#팔로워', '#올해의색상', '#충전', '#디지털', '#악세사리', '#라이트닝케이블', '#pantone', '#올해의색', '#펜톤', '#emcos']"
